CCLE_ID	depMapID	Name	Pathology	Site_Primary	Site_Subtype1	Site_Subtype2	Site_Subtype3	Histology	Hist_Subtype1	Hist_Subtype2	Hist_Subtype3	Gender	Life_Stage	Age	Race	Geo_Loc	inferred_ethnicity	Site_Of_Finding	Disease	Annotation_Source	Original.Source.of.Cell.Line	Characteristics	Growth.Medium	Supplements	Freezing.Medium	Doubling.Time.from.Vendor	Doubling.Time.Calculated.hrs	type	type_refined	PATHOLOGIST_ANNOTATION	mutRate	tcga_code
DMS53_LUNG	ACH-000698	DMS 53	primary	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male		54	caucasian		Caucasian		lung_cancer	CCLE	ATCC	Adherent	Waymouth's +10%FBS	NA	5%DMSO		450	lung_small_cell	lung_small_cell	Lung:SCLC	157.2416381	SCLC
SW1116_LARGE_INTESTINE	ACH-000489	SW1116	primary	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		73	caucasian		Caucasian			CCLE	ATCC	Adherent	L15+10%FBS	NA	5%DMSO		123.2	colorectal	colorectal	Colorectal:Carcinoma	94.37319183	COAD/READ
NCIH1694_LUNG	ACH-000431	NCI-H1694	metastasis	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male		61	caucasian		Caucasian	ascites		CCLE	ATCC	suspension line; lots of debris	DMEM:F12 (1:1) + 5% FBS	".005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine"	5% DMSO		81.2	lung_small_cell	lung_small_cell	Lung:SCLC	109.534987	SCLC
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000707	P3HR-1	metastasis	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	male		7	african_american		African_american	ascites	Burkitts lymphoma	CCLE	NIBRI						NA	lymphoma_Burkitt	lymphoma_Burkitt	Lymphoma:NH_B_cell	166.4564059	DLBC
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000509	HuT 78	primary	haematopoietic_and_lymphoid_tissue	skin	NS	NS	lymphoid_neoplasm	mycosis_fungoides-Sezary_syndrome	NS	NS	male		53	caucasian		Caucasian		sezary_syndrome	CCLE	NIBRI						NA	lymphoma_other	T-cell_lymphoma_other	Lymphoma:NH_T_cell	118.2175686	NA
UMUC3_URINARY_TRACT	ACH-000522	UM-UC-3	primary	urinary_tract	bladder	NS	NS	carcinoma	transitional_cell_carcinoma	NS	NS	male		NA			Caucasian		bladder_cancer	CCLE	ATCC	Adherent epithelial	EMEM +10%FBS	NA	5%DMSO		386.7	urinary_tract	urinary_tract	Bladder:Carcinoma	124.7079624	BLCA
HOS_BONE	ACH-000613	HOS	primary	bone	NS	NS	NS	osteosarcoma	NS	NS	NS	female		13	caucasian		Caucasian			CCLE	GNF						NA	osteosarcoma	osteosarcoma	Bone:Sarcoma_Osteo	127.9796713	SARC
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000829	HuNS1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	male		NA			Caucasian		myeloma	CCLE	NIBRI						NA	multiple_myeloma	multiple_myeloma	Lymphoma:Multiple_Myeloma	187.9138764	MM
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000557	AML-193	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	female		13			African_american			CCLE	ATCC	suspension	IMDM+5%FBS	"0.005mg/ml insulin, 0.005mg/ml transferrin and 5ng/ml GM-CSF"	5% DMSO		80.3	AML	AML	Leukemia:AML	133.3686368	LAML
RVH421_SKIN	ACH-000614	RVH-421	metastasis	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male		28	caucasian	europe	Caucasian	brain		CCLE		Adherent	RPMI1640+10%FBS	NA	5%DMSO		49.5	melanoma	melanoma	Skin:Melanoma	NA	SKCM
NCIH1184_LUNG	ACH-000523	NCI-H1184	metastasis	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male		42	caucasian		Caucasian	lymph_node		CCLE	ATCC	Mixed (lymphoblasts)	RPMI-1640 + 10% FBS	NA	5%DMSO		151.7	lung_small_cell	lung_small_cell	Lung:SCLC	134.1563317	SCLC
HCC2157_BREAST	ACH-000691	HCC2157	primary	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		48	african_american		African_american		ductal_carcinoma	CCLE	NIBRI						NA	breast	breast	NA	173.1865428	BRCA
TC71_BONE	ACH-000424	TC-71	primary	bone	NS	NS	NS	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	NS	NS	male		22			Caucasian		Ewings_sarcoma	CCLE	NIBRI						NA	Ewings_Sarcoma	Ewings_sarcoma	Bone:Sarcoma_Ewing	116.191956	SARC
NCIH2227_LUNG	ACH-000610	NCI-H2227	primary	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male		54	caucasian		Caucasian			CCLE	ATCC	mixed	DMEM:HAM's F12  1:1  +5% FBS	"0.005 mg/ml Insulin, 0.01 mg/ml transferrin, 30 nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 1 mM L-glutamine"	5%DMSO		187.6	lung_small_cell	lung_small_cell	Lung:SCLC	136.788956	SCLC
COLO205_LARGE_INTESTINE	ACH-001039	COLO 205	metastasis	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		70	caucasian		Caucasian	ascites	colon_cancer	CCLE	NA	NA	NA	NA	NA	NA	NA	colorectal	colorectal	NA	NA	COAD/READ
SNU449_LIVER	ACH-000420	SNU-449	primary	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male		52	asian	korea	Asian		hepatocellular_cancer	CCLE	NIBRI						NA	liver	liver	Liver:HCC	153.5990748	LIHC
NCIH28_PLEURA	ACH-000648	NCI-H28	metastasis	pleura	NS	NS	NS	mesothelioma	NS	NS	NS	male		48	caucasian		African_american	pleura		CCLE	ATCC	adherent	RPMI+10%FBS	NA	10% DMSO		81.2	mesothelioma	mesothelioma	Lung:Mesothelioma	144.0712209	MESO
OV56_OVARY	ACH-000091	OV56	primary	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female		46			Caucasian			CCLE	ECACC	adherent epithelial	DMEM:HAM's F12  1:1  +5% FBS	0.5 ug/ml hydrocortisone + 10ug/ml insulin	5%DMSO		148.6	ovary	ovary	Ovary:Carcinoma	85.71718592	OV
JHOS4_OVARY	ACH-000584	JHOS-4	primary	ovary	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		44	asian		Asian			CCLE	RIKEN		DMEM:F12 + 10% FBS	0.1 mM NEAA	5% DMSO		127.3	ovary	ovary	Ovary:Carcinoma	160.5655743	OV
KYSE450_OESOPHAGUS	ACH-000865	KYSE-450	primary	oesophagus	middle_third	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male		59	asian	japan	Asian		well differentiated invasive eosphageal squamous cell carcinoma	CCLE	GNF					~ 30 hrs	NA	esophagus	esophagus	Oesophagus:Carcinoma	324.7573697	ESCA
RMUGS_OVARY	ACH-000701	RMUG-S	primary	ovary	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		62			Asian			CCLE	NIBRI						NA	ovary	ovary	Ovary:Carcinoma	178.9165928	OV
KLE_ENDOMETRIUM	ACH-000293	KLE	primary	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		64	caucasian		Caucasian			CCLE	GNF						70.2	endometrium	endometrium	Endometrium:Carcinoma	96.20381721	UCEC
HS895T_FIBROBLAST	ACH-000043	Hs 895.T	metastasis	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	female		48	caucasian		Caucasian	lung		CCLE	NIBRI						NA	melanoma	fibroblast_like	Skin:Melanoma	56.09099205	SKCM
LN229_CENTRAL_NERVOUS_SYSTEM	ACH-000595	LN-229	primary	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	female		60	caucasian		Caucasian			CCLE	NIBRI						NA	glioma	glioma	CNS:Glioma_HighGrade	139.4221578	GBM
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000770	P31/FUJ	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	male		NA	asian		Asian			CCLE	HSSRB	lymphocyte-like	RPMI 1640 medium with 10% fetal calf serum	NA		NA	NA	AML	AML	Leukemia:AML	220.9309703	LAML
RKN_SOFT_TISSUE	ACH-000505	RKN	primary	soft_tissue	smooth_muscle	ovary	NS	leiomyosarcoma	NS	NS	NS	female		45	asian	japan	Asian			CCLE	HSSRB	epithelial-like	Han's F12 medium 90% with 10% fetal bovine serum	NA		NA	NA	ovary	ovary	Soft_Tissue:Sarcoma_Leiomyo	165.9472722	SARC
PATU8988S_PANCREAS	ACH-000022	PA-TU-8988S	metastasis	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		64			Caucasian	liver		CCLE	DSMZ	Adherent epitheloid cells in monolayer	DMEM + 10%FBS	2mM L-Glutamine	10%DMSO		110	pancreas	pancreas	Pancreas:Carcinoma	82.48705026	PAAD
NH6_AUTONOMIC_GANGLIA	ACH-000203	NH-6	primary	autonomic_ganglia	NS	NS	NS	neuroblastoma	NS	NS	NS	female		0.75			Asian		neuroblastoma	CCLE	HSSRB	fibroblast-like	alpha-MEM with 10% fetal calf serum	NA		NA	NA	neuroblastoma	neuroblastoma	PNET:Neuroblastoma	115.6076715	NB
SF126_CENTRAL_NERVOUS_SYSTEM	ACH-000609	SF126	primary	central_nervous_system	brain	NS	NS	glioma	astrocytoma	NS	NS			NA			Caucasian			CCLE	HSSRB	fibroblast-like	Eagle's minimal essential medium with 10% fetal bovine serum	NA		NA	NA	glioma	glioma	CNS:Glioma	136.2988662	GBM
RERFLCAD2_LUNG	ACH-000774	RERF-LC-Ad2	primary	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		NA	asian		Asian			CCLE	HSSRB	adherent epithelial-like	RPMI-1640+10% FBS	NA	5% DMSO		70.1	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	215.9785902	LUAD
